transformer_id,transformer,sector,transformer_code,description,description_long,units_description,citations,variables_affected
0,Baseline,,TFR:BASE,"Baseline transformation, which is applied to raw input data",Description here,"The base LURF can be set here and in the baseline config, as well as other adjustments to the baseline.",,
1,AGRC: Improve rice management,AF,TFR:AGRC:DEC_CH4_RICE,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.,,Fractional reduction in methane emitted from rice production,,
2,AGRC: Decrease demand for unhealthy crops,AF,TFR:AGRC:DEC_DEMAND_FOR_UNHEALTHY_CROPS,Reduction in demand for specified crops; the default is sugarcane.,,Fractional reduction for specified crops,,
3,AGRC: Decrease Exports,AF,TFR:AGRC:DEC_EXPORTS,Decrease agricultural exports by 50% (relative to final time period),,Fractional reduction in agricultural exports,,
4,AGRC: Reduce supply chain losses,AF,TFR:AGRC:DEC_LOSSES_SUPPLY_CHAIN,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer),,Fractional reduction in food waste in supply chain,,
5,AGRC: Expand conservation agriculture,AF,TFR:AGRC:INC_CONSERVATION_AGRICULTURE," | Decrease soil organic carbon loss in croplands and leave crop residues (reduce fraction removed and burned)
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)",,Fraction of crop classes that adopt conservation agriculture (per crop specified),,
6,AGRC: Improve crop productivity,AF,TFR:AGRC:INC_PRODUCTIVITY,Increase crop yield factors by 20%,,Fractional increase in crop productivity (mass/area),,
7,AGRC: Increase residue removal,AF,TFR:AGRC:INC_RESIDUE_REMOVAL,"Unlike conservation agriculture, remove residues from croplands. However, does not coincide with no till agriciulture.",,Fractional of residues removed from crop fields (can conflict with conservation agriculture),,
8,FRST: Increase Sequestration,AF,TFR:FRST:INCREASE_SEQUESTRATION,Increase annual sequestration in forests ,,Fractional increase in sequestration. Negative numbers can be used to reduce it.,,
9,LNDU: Bound Classes,AF,TFR:LNDU:BOUND_CLASSES,Land use classes are estimated using a transition matrix and ajdusted using a quadratic program. This transformation can be used to set upper and lower bounds on transitionable land use classes. This transformation can be used to represent the addition of protected areas through the use of a minimum bound OR the prevention of additional growth through the maxium bound.,,"Areas of land to bound by class (in variable ""Maximum Area"" and ""Minimum Area"" units)",,
10,LNDU: Stop deforestation,AF,TFR:LNDU:DEC_DEFORESTATION,Halt deforestation of primary and secondary forests,,Target transition probability for forest classes remaining that class (closer to 1 means less loss),,
11,LNDU: Decrease loss of land use classes,AF,TFR:LNDU:DEC_CLASS_LOSS,"Halt loss of a specified land use class; similarly to DEC_DEFORESTATION, it increases the probability of a class transitioning into itself. The DEC_DEFORESTATION transformer, however, prevents multiple classes from transitioning out. ",,Target transition probability for land use class remaining that class (closer to 1 means less loss),,
12,LNDU: Expand sustainable grazing practices,AF,TFR:LNDU:DEC_SOC_LOSS_PASTURES," | Decrease soil organic carbon loss in grasslands through sustainable grazing practices
 | 
 | **Grasslands**: Increase :math:`F_{MG}` for ``grasslands`` to 1.157 (see V4, Chapter 6, Table 6.2 [2019R] for grasslands management factors :math:`F_{MG}` under different management regimes--mean of *Improved Grassland*)",,Fractions of pastures use sustainable grazing,,
13,LNDU: Rehabilitate degraded land,AF,TFR:LNDU:INC_LAND_REHABILITIATION,Missing,,"Fraction of specified land use classes (e.g., grasslands) with rehabilitiation, minimizing SOC loss",,
14,LNDU: Increase Reforestation,AF,TFR:LNDU:INC_REFORESTATION,"Increases probability of input land use classes being converted to secondary forests. This transformation can be defined for specific land use classes--e.g., converting only shrublands and croplands to ",,Target fractional increase in forest area,,
15,LNDU: Expand silvopasture,AF,TFR:LNDU:INC_SILVOPASTURE,"Increase the use of silvopasture by increaasing the average sequestration factor associated with pastures. This transformer models silvopasture as a fraction of pastures with planted forests. Since the magnitude is a fraction of area, the average sequestration factor is estimated as m*f, where m is the magnitude (prevalence) and f is the secondary forest sequestration factor.",,Fraction of pasture under silvopasture. Applies secondary forest carbon sequestration factors to silvopasture area.,,
16,LNDU: Partial land use reallocation,AF,TFR:LNDU:PLUR,Set land use reallocation factor to 0.5,,"Reallocation factor, which ranges from 0 to 1, represents the responsiveness of land use to external agriculture demands (crops and livestock). A value of 1 is completely responsive (total market power) which a value of 0 is completely unresponsive (e.g., centrally planned land use).",,
17,LSMM: Increase biogas capture at anaerobic decomposition facilities,AF,TFR:LSMM:INC_CAPTURE_BIOGAS,Increase the fraction of biogas that is captured at manure treated at anaerobic livestock manure treatment facilities,,Target minimum fraction of biogas that is captured from manure management facilities with anaerobic decomposition (including lagoons),,
